imageId,Date,mm
199910_00000000000000000000,199910,229.2335268
199911_00000000000000000000,199911,3.005509815
199912_00000000000000000000,199912,1.273791653
200001_00000000000000000000,200001,0.046295984
200002_00000000000000000000,200002,0.339817519
200003_00000000000000000000,200003,0.997681214
200004_00000000000000000000,200004,1
200005_00000000000000000000,200005,101.5597032
200006_00000000000000000000,200006,332.4739191
200007_00000000000000000000,200007,85.65771246
200008_00000000000000000000,200008,204.4640562
200009_00000000000000000000,200009,336.6601212
200010_00000000000000000000,200010,169.3632546
200011_00000000000000000000,200011,3.005509815
200012_00000000000000000000,200012,0.089577789
200101_00000000000000000000,200101,0
200102_00000000000000000000,200102,1.123812844
200103_00000000000000000000,200103,1.008217292
200104_00000000000000000000,200104,2.882821776
200105_00000000000000000000,200105,136.4407519
200106_00000000000000000000,200106,30.15274288
200107_00000000000000000000,200107,165.0297047
200108_00000000000000000000,200108,114.4539665
200109_00000000000000000000,200109,312.8202404
200110_00000000000000000000,200110,193.5688226
200111_00000000000000000000,200111,2.375219186
200112_00000000000000000000,200112,4.000160953
200201_00000000000000000000,200201,0
200202_00000000000000000000,200202,1.008217714
200203_00000000000000000000,200203,1.008217292
200204_00000000000000000000,200204,1.844079261
200205_00000000000000000000,200205,8.197365139
200206_00000000000000000000,200206,199.9885699
200207_00000000000000000000,200207,147.46002
200208_00000000000000000000,200208,97.85490498
200209_00000000000000000000,200209,419.6509299
200210_00000000000000000000,200210,252.3521274
200211_00000000000000000000,200211,7.117593942
200212_00000000000000000000,200212,0.902968321
200301_00000000000000000000,200301,0
200302_00000000000000000000,200302,0
200303_00000000000000000000,200303,1
200304_00000000000000000000,200304,2.682877805
200305_00000000000000000000,200305,14.86039025
200306_00000000000000000000,200306,172.6395398
200307_00000000000000000000,200307,48.94738451
200308_00000000000000000000,200308,107.7971514
200309_00000000000000000000,200309,247.1253046
200310_00000000000000000000,200310,200.0110904
200311_00000000000000000000,200311,3.55909983
200312_00000000000000000000,200312,0.534402326
200401_00000000000000000000,200401,0.017831493
200402_00000000000000000000,200402,0.16163157
200403_00000000000000000000,200403,1.008217292
200404_00000000000000000000,200404,3.581876919
200405_00000000000000000000,200405,78.35144745
200406_00000000000000000000,200406,192.4626121
200407_00000000000000000000,200407,98.43870286
200408_00000000000000000000,200408,57.21578621
200409_00000000000000000000,200409,335.4103062
200410_00000000000000000000,200410,345.7636525
200411_00000000000000000000,200411,1.169772104
200412_00000000000000000000,200412,0.089577789
200501_00000000000000000000,200501,0
200502_00000000000000000000,200502,0
200503_00000000000000000000,200503,2.625913577
200504_00000000000000000000,200504,6.676813276
200505_00000000000000000000,200505,9.817902633
200506_00000000000000000000,200506,323.9285772
200507_00000000000000000000,200507,236.6724501
200508_00000000000000000000,200508,229.5339602
200509_00000000000000000000,200509,381.3818901
200510_00000000000000000000,200510,481.9666094
200511_00000000000000000000,200511,1
200512_00000000000000000000,200512,0.147643292
200601_00000000000000000000,200601,0.614516067
200602_00000000000000000000,200602,0.008217292
200603_00000000000000000000,200603,0.008217292
200604_00000000000000000000,200604,5.04691327
200605_00000000000000000000,200605,32.75552871
200606_00000000000000000000,200606,325.366298
200607_00000000000000000000,200607,198.2790125
200608_00000000000000000000,200608,124.8757591
200609_00000000000000000000,200609,229.4374587
200610_00000000000000000000,200610,242.3790885
200611_00000000000000000000,200611,29.56179037
200612_00000000000000000000,200612,0.902968321
200701_00000000000000000000,200701,1.046295984
200702_00000000000000000000,200702,0
200703_00000000000000000000,200703,0.722813202
200704_00000000000000000000,200704,3.579860051
200705_00000000000000000000,200705,26.94759938
200706_00000000000000000000,200706,178.248803
200707_00000000000000000000,200707,127.3277519
200708_00000000000000000000,200708,202.9723373
200709_00000000000000000000,200709,286.0458371
200710_00000000000000000000,200710,354.4348787
200711_00000000000000000000,200711,1
200712_00000000000000000000,200712,0
200801_00000000000000000000,200801,0
200802_00000000000000000000,200802,1.085748541
200803_00000000000000000000,200803,4.90322203
200804_00000000000000000000,200804,4.488892763
200805_00000000000000000000,200805,8.527451567
200806_00000000000000000000,200806,238.1972371
200807_00000000000000000000,200807,239.5070484
200808_00000000000000000000,200808,219.8153799
200809_00000000000000000000,200809,289.5533986
200810_00000000000000000000,200810,314.5132336
200811_00000000000000000000,200811,0.130574796
200812_00000000000000000000,200812,0.001133005
200901_00000000000000000000,200901,0
200902_00000000000000000000,200902,0.531843854
200903_00000000000000000000,200903,1
200904_00000000000000000000,200904,1.836994975
200905_00000000000000000000,200905,11.09387995
200906_00000000000000000000,200906,311.5008459
200907_00000000000000000000,200907,98.51562062
200908_00000000000000000000,200908,98.30874163
200909_00000000000000000000,200909,214.1533498
200910_00000000000000000000,200910,202.5521545
200911_00000000000000000000,200911,10.49402973
200912_00000000000000000000,200912,3.21165982
201001_00000000000000000000,201001,0
201002_00000000000000000000,201002,0
201003_00000000000000000000,201003,1
201004_00000000000000000000,201004,8.854178414
201005_00000000000000000000,201005,213.2323047
201006_00000000000000000000,201006,328.8544072
201007_00000000000000000000,201007,376.7795332
201008_00000000000000000000,201008,407.6171247
201009_00000000000000000000,201009,547.4714507
201010_00000000000000000000,201010,2.682877805
201011_00000000000000000000,201011,1
201012_00000000000000000000,201012,0.001133005
201101_00000000000000000000,201101,0.207383173
201102_00000000000000000000,201102,1.464879834
201103_00000000000000000000,201103,5.101485446
201104_00000000000000000000,201104,8.326284257
201105_00000000000000000000,201105,11.19304629
201106_00000000000000000000,201106,268.9034128
201107_00000000000000000000,201107,373.8486146
201108_00000000000000000000,201108,275.4110036
201109_00000000000000000000,201109,199.3663728
201110_00000000000000000000,201110,400.3773494
201111_00000000000000000000,201111,0.169772104
201112_00000000000000000000,201112,1.050675335
201201_00000000000000000000,201201,0
201202_00000000000000000000,201202,0.884412705
201203_00000000000000000000,201203,0
201204_00000000000000000000,201204,3.329250948
201205_00000000000000000000,201205,17.49914151
201206_00000000000000000000,201206,154.0528572
201207_00000000000000000000,201207,63.35775267
201208_00000000000000000000,201208,226.1180685
201209_00000000000000000000,201209,111.9200602
201210_00000000000000000000,201210,262.8169062
201211_00000000000000000000,201211,0
201212_00000000000000000000,201212,1
201301_00000000000000000000,201301,0.167916648
201302_00000000000000000000,201302,0.873721243
201303_00000000000000000000,201303,0.997681214
201304_00000000000000000000,201304,4.759489435
201305_00000000000000000000,201305,13.86730943
201306_00000000000000000000,201306,322.6944022
201307_00000000000000000000,201307,149.1117214
201308_00000000000000000000,201308,372.756489
201309_00000000000000000000,201309,418.8117602
201310_00000000000000000000,201310,385.809116
201311_00000000000000000000,201311,66.47502854
201312_00000000000000000000,201312,0.902968321
201401_00000000000000000000,201401,0.017831916
201402_00000000000000000000,201402,0
201403_00000000000000000000,201403,5.065739929
201404_00000000000000000000,201404,3.728913823
201405_00000000000000000000,201405,173.255404
201406_00000000000000000000,201406,408.435776
201407_00000000000000000000,201407,3.899427955
201408_00000000000000000000,201408,154.9836868
201409_00000000000000000000,201409,240.0821607
201410_00000000000000000000,201410,303.1080336
201411_00000000000000000000,201411,2.942884307
201412_00000000000000000000,201412,0
201501_00000000000000000000,201501,0.001133005
201502_00000000000000000000,201502,0
201503_00000000000000000000,201503,1.008217292
201504_00000000000000000000,201504,5.52598748
201505_00000000000000000000,201505,9.273340681
201506_00000000000000000000,201506,125.1170313
201507_00000000000000000000,201507,31.85385747
201508_00000000000000000000,201508,42.32054609
201509_00000000000000000000,201509,262.0731732
201510_00000000000000000000,201510,283.2176033
201511_00000000000000000000,201511,104.9533137
201512_00000000000000000000,201512,1.127396516
201601_00000000000000000000,201601,0
201602_00000000000000000000,201602,0
201603_00000000000000000000,201603,1
201604_00000000000000000000,201604,1.844079261
201605_00000000000000000000,201605,5.774325036
201606_00000000000000000000,201606,70.52398404
201607_00000000000000000000,201607,52.68752376
201608_00000000000000000000,201608,180.0392595
201609_00000000000000000000,201609,187.5056196
201610_00000000000000000000,201610,78.00226013
201611_00000000000000000000,201611,2.09297045
201612_00000000000000000000,201612,0.902968321
201701_00000000000000000000,201701,0.001133005
201702_00000000000000000000,201702,0.873721243
201703_00000000000000000000,201703,0.644813503
201704_00000000000000000000,201704,2.071745873
201705_00000000000000000000,201705,8.934500844
201706_00000000000000000000,201706,241.5846631
201707_00000000000000000000,201707,120.1766047
201708_00000000000000000000,201708,146.2917082
201709_00000000000000000000,201709,453.2230648
201710_00000000000000000000,201710,202.7285154
201711_00000000000000000000,201711,1.172843517
201712_00000000000000000000,201712,1
201801_00000000000000000000,201801,0.999275878
201802_00000000000000000000,201802,1.562141004
201803_00000000000000000000,201803,2.525755318
201804_00000000000000000000,201804,8.363320408
201805_00000000000000000000,201805,225.2527437
201806_00000000000000000000,201806,725.8686667
201807_00000000000000000000,201807,7.072654664
201808_00000000000000000000,201808,240.3512405
201809_00000000000000000000,201809,355.6947056
201810_00000000000000000000,201810,795.2569225
201811_00000000000000000000,201811,18.30640919
201812_00000000000000000000,201812,1.601749233
